SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1505 Elm St #401,Dallas,TX,75201,219000,1,1.5,1505 Elm Street Condominiums,1059,10019,1957,154,207,867,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-401/home/30745258,NTREIS,14409301,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #502,Dallas,TX,75201,219900,1,1.5,Elm Street Condo 1505,1312,10019,1957,44,168,1078,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-502/home/30738403,NTREIS,14472629,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1122 Jackson St #919,Dallas,TX,75202,219000,1,1.0,Soco Urban Loft Condo,954,42863,1925,54,230,386,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-919/home/30765455,NTREIS,14471906,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #511,Dallas,TX,75202,240000,1,1.0,Soco Urban Loft Condo,1039,42863,1925,79,231,393,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-511/home/30765403,NTREIS,14445660,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #1008,Dallas,TX,75202,239999,1,1.0,Soco Urban Lofts,1069,436,1925,4,225,432,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-1008/home/30765449,NTREIS,14494103,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #309,Dallas,TX,75202,289000,1,1.0,Soco Urban Loft Condo,1111,42863,1925,3,260,450,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-309/home/30765018,NTREIS,14493972,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #1001,Dallas,TX,75202,259900,1,1.0,Soco Urban Loft Condo,1077,42863,1925,26,241,436,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-1001/home/30765443,NTREIS,14480351,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #514,Dallas,TX,75202,193000,1,1.0,Soco Urban Loft Condo,831,42863,1925,67,232,337,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-514/home/30765404,NTREIS,14464125,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #318,Dallas,TX,75202,259900,1,1.0,Soco Urban Loft Condo,1156,42863,1925,3,225,468,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-318/home/30765009,NTREIS,14495644,N,Y,32.7782672,-96.8024429
MLS Listing,,Condo/Co-op,1122 Jackson St #709,Dallas,TX,75202,249999,1,1.0,Soco Urban Lofts,1111,436,1925,70,225,449,Active,,,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-709/home/30765435,NTREIS,14452479,N,Y,32.7782672,-96.8024429
